117243	"Tuple{typeof(Base.MainInclude.include), String}"
171326	"Tuple{typeof(Base.include), Module, String}"
216328	"Tuple{typeof(InstagramScraper.include), String}"
335544	"Tuple{getfield(Base, Symbol("##open#310")), Base.Iterators.Pairs{Union{}, Union{}, Tuple{}, NamedTuple{(), Tuple{}}}, Function, getfield(Base, Symbol("##651#652")){String}, String}"
307517	"Tuple{getfield(Base, Symbol("##open#310")), Base.Iterators.Pairs{Union{}, Union{}, Tuple{}, NamedTuple{(), Tuple{}}}, Function, getfield(Base, Symbol("##657#658")){String, Base.PkgId}, String}"
1120719	"Tuple{getfield(Base, Symbol("##open#309")), Bool, Nothing, Nothing, Nothing, Nothing, Function, String}"
553057	"Tuple{getfield(Base, Symbol("##read#314")), Bool, Function, Base.IOStream, Int32}"
454367	"Tuple{getfield(Base, Symbol("##open#310")), Base.Iterators.Pairs{Union{}, Union{}, Tuple{}, NamedTuple{(), Tuple{}}}, Function, getfield(Base, Symbol("##655#656")){String, Base.UUID, String}, String}"
538845	"Tuple{typeof(Base.isassigned), Core.SimpleVector, Int64}"
510818	"Tuple{typeof(MbedTLS.f_send), Ptr{Nothing}, Ptr{UInt8}, UInt64}"
339097	"Tuple{typeof(MbedTLS.f_recv), Ptr{Nothing}, Ptr{UInt8}, UInt64}"
157904	"Tuple{typeof(MbedTLS.__init__)}"
207248	"Tuple{typeof(HTTP.URIs.__init__)}"
173299	"Tuple{typeof(HTTP.Parsers.__init__)}"
298042	"Tuple{typeof(Base.isassigned), Core.SimpleVector, Int64}"
291332	"Tuple{typeof(Base.isassigned), Core.SimpleVector, Int64}"
138165	"Tuple{getfield(Cascadia, Symbol("#@sel_str")), LineNumberNode, Module, AbstractString}"
5128306	"Tuple{typeof(Cascadia.skipWhitespace), Cascadia.Parser}"
2092614	"Tuple{typeof(Cascadia.parseError), Cascadia.Parser, String}"
7407642	"Tuple{typeof(Base.string), String, Char, String}"
1698645	"Tuple{typeof(Cascadia.nameChar), Char}"
9948307	"Tuple{typeof(Cascadia.parseEscape), Cascadia.Parser}"
439760	"Tuple{typeof(Cascadia.parseName), Cascadia.Parser}"
207643	"Tuple{typeof(Cascadia.attributeSelector), getfield(Cascadia, Symbol("##11#12")){String}, String}"
84479	"Tuple{typeof(Cascadia.parseIDSelector), Cascadia.Parser}"
2177092	"Tuple{typeof(Cascadia.nameStart), Char}"
182773	"Tuple{typeof(Cascadia.parseIdentifier), Cascadia.Parser}"
443314	"Tuple{typeof(Cascadia.attributeSelector), getfield(Cascadia, Symbol("##13#14")){String}, String}"
160272	"Tuple{typeof(Cascadia.parseClassSelector), Cascadia.Parser}"
5773736	"Tuple{typeof(Cascadia.attributeSelector), getfield(Cascadia, Symbol("##9#10")), String}"
5337529	"Tuple{typeof(Cascadia.parseRegex), Cascadia.Parser}"
2318810	"Tuple{typeof(Cascadia.attributeSelector), getfield(Cascadia, Symbol("##15#16")){String}, String}"
720434	"Tuple{typeof(Cascadia.attributeSelector), getfield(Cascadia, Symbol("##17#18")){String}, String}"
805702	"Tuple{typeof(Cascadia.attributeSelector), getfield(Cascadia, Symbol("##19#20")){String}, String}"
